time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_episodes_rate,Anypoint_child,Anypoint_child_rate,Started_episodes,Started_episodes_rate,Started_child,Started_child_rate,Ended_episodes,Ended_episodes_rate,Ended_child,Ended_child_rate,At31_episodes,At31_episodes_rate,Awaiting_assessment,Awaiting_assessment_rate
2023,Reporting year,National,E92000001,England,,,,,,Children in Need,766050,651.3,712650,605.9,403630,343.2,376550,320.1,362960,308.6,341610,290.4,403090,342.7,15830,13.5
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children in Need,45410,865.2,42160,803.2,22720,432.9,21130,402.5,20880,397.8,19710,375.4,24530,467.4,380,7.3
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children in Need,110910,710.1,103890,665.1,55350,354.4,52020,333.1,50500,323.3,48060,307.7,60410,386.8,1910,12.2
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children in Need,81050,706.9,75190,655.8,42930,374.5,40230,350.9,40960,357.2,38720,337.7,40100,349.7,950,8.2
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children in Need,55020,555.6,51310,518.1,29580,298.7,27700,279.7,26130,263.8,24820,250.6,28900,291.8,1600,16.2
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children in Need,82760,640.7,78420,607.1,40920,316.8,38940,301.5,35090,271.7,33630,260.4,47670,369,1620,12.6
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children in Need,55880,420,53180,399.7,27690,208.1,26500,199.2,23280,175,22430,168.6,32610,245.1,1230,9.3
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children in Need,130170,687.8,122940,649.6,67860,358.6,64560,341.2,60180,318,57830,305.5,69980,369.8,2810,14.9
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children in Need,138760,716.7,124270,641.8,81070,418.7,72260,373.2,73770,381,66060,341.2,64990,335.6,3960,20.5
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children in Need,66090,607.9,61290,563.7,35520,326.7,33210,305.5,32180,296,30370,279.4,33900,311.9,1360,12.5
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children in Need,49810,763.9,47110,722.6,25000,383.4,23830,365.5,21460,329,20680,317.2,28350,434.8,1380,21.1
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children in Need,80360,647.8,75830,611.3,42860,345.5,40730,328.4,38730,312.2,37140,299.4,41630,335.6,1440,11.6
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Children in Need,7188,726.4,6711,678.2,3619,365.7,3435,347.1,3361,339.6,3191,322.5,3827,386.7,42,4.2
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Children in Need,1943,873.1,1844,828.7,996,447.6,949,426.5,743,333.9,725,325.8,1200,539.3,8,3.6
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Children in Need,3154,819.3,2906,754.8,1432,372,1292,335.6,1443,374.8,1381,358.7,1711,444.4,35,9.1
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Children in Need,3163,1592,2773,1395.7,1853,932.7,1591,800.8,1732,871.8,1552,781.2,1431,720.3,22,11.1
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Children in Need,5052,1510.7,4574,1367.8,2849,851.9,2593,775.4,2856,854,2646,791.2,2196,656.7,11,3.3
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Children in Need,4274,742.7,4102,712.9,1925,334.5,1863,323.8,1439,250.1,1416,246.1,2835,492.7,34,5.9
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Children in Need,3102,741.4,2892,691.2,1587,379.3,1442,344.6,1442,344.6,1342,320.7,1660,396.7,52,12.4
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Children in Need,4097,701.2,3866,661.7,1947,333.2,1853,317.1,1704,291.6,1630,279,2393,409.6,13,2.2
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Children in Need,2754,1012.9,2607,958.8,1272,467.8,1216,447.2,1181,434.4,1137,418.2,1573,578.5,19,7
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Children in Need,2490,838.4,2372,798.7,1040,350.2,1021,343.8,1055,355.2,1033,347.8,1435,483.2,40,13.5
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Children in Need,4262,987.1,3884,899.5,2199,509.3,2007,464.8,1983,459.3,1807,418.5,2279,527.8,48,11.1
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Children in Need,3935,728.4,3632,672.3,2003,370.8,1864,345,1941,359.3,1846,341.7,1994,369.1,57,10.6
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Children in Need,2507,630.7,2396,602.8,1203,302.7,1152,289.8,1171,294.6,1141,287.1,1336,336.1,6,1.5
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Children in Need,3572,1284.4,3313,1191.3,1666,599.1,1534,551.6,1497,538.3,1402,504.1,2075,746.1,22,7.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Children in Need,6144,860.6,5523,773.6,4164,583.3,3776,528.9,3787,530.5,3494,489.4,2357,330.2,59,8.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Children in Need,3644,832.8,3262,745.5,2159,493.4,1956,447,2233,510.4,2042,466.7,1411,322.5,35,8
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Children in Need,3657,466.4,3486,444.5,1660,211.7,1590,202.8,1427,182,1387,176.9,2230,284.4,57,7.3
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Children in Need,3934,566.6,3718,535.5,1928,277.7,1858,267.6,1574,226.7,1518,218.6,2360,339.9,34,4.9
2023,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Children in Need,4405,487.4,4264,471.8,1850,204.7,1807,199.9,1678,185.7,1654,183,2727,301.7,76,8.4
