time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,Referrals,Referrals_rate,Re_referrals,Re_referrals_percent,No_Further_Action,No_Further_Action_percent,Not_in_Need,Not_in_Need_percent,Referrals_child,Referrals_child_rate,Re_referrals_child,Re_referrals_child_percent
2023,Reporting year,National,E92000001,England,,,,,,Referrals and Re-referrals,640430,544.5,143770,22.4,45340,7.1,191460,29.9,566960,482,119310,21
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Referrals and Re-referrals,34790,662.8,7840,22.5,620,1.8,11450,32.9,30920,589,6710,21.7
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Referrals and Re-referrals,82720,529.6,18520,22.4,5430,6.6,21940,26.5,73730,472,15770,21.4
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Referrals and Re-referrals,65790,573.8,14520,22.1,3270,5,19590,29.8,58700,512,12330,21
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Referrals and Re-referrals,55590,561.4,13460,24.2,4810,8.6,21210,38.2,48400,488.8,11060,22.9
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Referrals and Re-referrals,68180,527.8,13250,19.4,1510,2.2,25750,37.8,61450,475.7,11480,18.7
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Referrals and Re-referrals,44860,337.2,8030,17.9,2110,4.7,15060,33.6,40860,307.1,6940,17
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Referrals and Re-referrals,107900,570.1,20370,18.9,8380,7.8,31670,29.3,97490,515.2,17370,17.8
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Referrals and Re-referrals,126750,654.6,35390,27.9,15090,11.9,30580,24.1,107620,555.8,27290,25.4
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Referrals and Re-referrals,53850,495.4,12410,23,4130,7.7,14210,26.4,47800,439.6,10370,21.7
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Referrals and Re-referrals,39540,606.4,6960,17.6,2960,7.5,11580,29.3,35880,550.3,5980,16.7
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Referrals and Re-referrals,68360,551.1,13400,19.6,5420,7.9,20090,29.4,61610,496.7,11390,18.5
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Referrals and Re-referrals,4683,473.2,766,16.4,0,0,1064,22.7,4368,441.4,673,15.4
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Referrals and Re-referrals,1613,724.8,288,17.9,9,0.6,608,37.7,1425,640.4,253,17.8
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Referrals and Re-referrals,2060,535.1,464,22.5,25,1.2,603,29.3,1824,473.8,411,22.5
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Referrals and Re-referrals,2122,1068,587,27.7,12,0.6,257,12.1,1801,906.5,491,27.3
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Referrals and Re-referrals,4229,1264.6,1101,26,64,1.5,1316,31.1,3710,1109.4,954,25.7
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Referrals and Re-referrals,3764,654.1,890,23.6,0,0,1839,48.9,3345,581.3,760,22.7
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Referrals and Re-referrals,2300,549.7,507,22,19,0.8,694,30.2,1993,476.3,419,21
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Referrals and Re-referrals,3004,514.1,506,16.8,28,0.9,1029,34.3,2746,470,454,16.5
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Referrals and Re-referrals,1820,669.4,341,18.7,c,c,546,30,1648,606.1,290,17.6
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Referrals and Re-referrals,2103,708.1,475,22.6,458,21.8,605,28.8,1891,636.7,427,22.6
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Referrals and Re-referrals,3914,906.5,1149,29.4,c,c,1710,43.7,3343,774.2,908,27.2
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Referrals and Re-referrals,3179,588.5,761,23.9,0,0,1176,37,2823,522.6,672,23.8
