time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,population_count,population_estimate,number,rate_per_10000
2023,Reporting year,National,E92000001,England,,,,,,Children ceasing to be looked after each year,11886906,31680,27
2023,Reporting year,National,E92000001,England,,,,,,Children looked after at 31 March each year,11886906,83840,71
2023,Reporting year,National,E92000001,England,,,,,,Children starting to be looked after each year,11886906,33000,28
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children ceasing to be looked after each year,531251,2260,42
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after at 31 March each year,531251,5980,113
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children starting to be looked after each year,531251,2470,47
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children ceasing to be looked after each year,1582229,5050,32
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after at 31 March each year,1582229,15160,96
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children starting to be looked after each year,1582229,4970,31
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children ceasing to be looked after each year,1157053,3430,30
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after at 31 March each year,1157053,9370,81
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children starting to be looked after each year,1157053,3470,30
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children ceasing to be looked after each year,1004082,2430,24
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after at 31 March each year,1004082,6600,66
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children starting to be looked after each year,1004082,2530,25
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children ceasing to be looked after each year,1308985,3170,24
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after at 31 March each year,1308985,11820,90
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children starting to be looked after each year,1308985,3550,27
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children ceasing to be looked after each year,1348369,2380,18
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after at 31 March each year,1348369,7060,52
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children starting to be looked after each year,1348369,2700,20
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children ceasing to be looked after each year,1896862,5190,27
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after at 31 March each year,1896862,9710,51
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children starting to be looked after each year,1896862,4890,26
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children ceasing to be looked after each year,1962885,5220,27
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after at 31 March each year,1962885,11260,57
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children starting to be looked after each year,1962885,5560,28
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children ceasing to be looked after each year,1095190,2550,23
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children looked after at 31 March each year,1095190,6880,63
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children starting to be looked after each year,1095190,2850,26
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children ceasing to be looked after each year,647490,2110,33
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children looked after at 31 March each year,647490,4000,62
2023,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children starting to be looked after each year,647490,1880,29
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children ceasing to be looked after each year,1249372,3080,25
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children looked after at 31 March each year,1249372,5700,46
2023,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children starting to be looked after each year,1249372,3010,24
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children ceasing to be looked after each year,20116,132,66
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children looked after at 31 March each year,20116,321,160
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children starting to be looked after each year,20116,151,75
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children ceasing to be looked after each year,34140,235,69
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children looked after at 31 March each year,34140,513,150
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children starting to be looked after each year,34140,245,72
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children ceasing to be looked after each year,27230,161,59
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children looked after at 31 March each year,27230,399,147
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children starting to be looked after each year,27230,213,78
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children ceasing to be looked after each year,43802,163,37
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children looked after at 31 March each year,43802,574,131
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children starting to be looked after each year,43802,164,37
2023,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Children ceasing to be looked after each year,22432,100,45
