time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,social_worker_fte,leaver_fte,turnover_rate_fte_%,working_days_lost_fte,absence_rate_fte_%,agency_fte,agency_worker_rate_fte_%,agency_cover_fte,agency_cover_rate_fte_%,vacancy_fte,vacancy_rate_fte_%,vacancy_agency_cover_rate_fte_%,case_holders_fte,cases,caseload_fte,social_worker_headcount,leaver_headcount,turnover_rate_headcount_%,agency_headcount,agency_worker_rate_headcount_%
2022,Reporting year,National,E92000001,England,,,,,,31634.1,5422,17.1,283440.5,3.5,6759.7,17.6,5440.5,80.5,7912.9,20,68.8,20206,335563,16.6,33689,6111,18.1,6969,17.1
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,2054.5,282.3,13.7,16245.4,3.1,221,9.7,144.1,65.2,259.1,11.2,55.6,1375.6,24794,18,2157,327,15.2,226,9.5
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,4240.6,718.1,16.9,42162.4,3.9,943.3,18.2,700.9,74.3,1255.9,22.8,55.8,2674.4,47734,17.8,4494,797,17.7,970,17.8
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,3552.5,548.3,15.4,39077.4,4.3,659.3,15.7,455.4,69.1,715.6,16.8,63.6,2220.4,37783,17,3855,623,16.2,669,14.8
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,2323.6,380.7,16.4,24715.5,4.2,429.6,15.6,394.9,91.9,524.5,18.4,75.3,1480.9,25631,17.3,2535,438,17.3,445,14.9
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,3607.1,590.5,16.4,41014.6,4.5,790.3,18,602.9,76.3,957.5,21,63,2405.1,41080,17.1,3815,675,17.7,820,17.7
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,3125.7,503,16.1,19554.2,2.5,350,10.1,327,93.4,556.2,15.1,58.8,1702,26150,15.4,3320,571,17.2,369,10
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,5392.8,1053.9,19.5,40071.8,2.9,1700,24,1493.8,87.9,1907.1,26.1,78.3,3413.3,49612,14.5,5549,1140,20.5,1779,24.3
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,4597.1,853.1,18.6,35113,3,1003.9,17.9,822.2,81.9,1064.8,18.8,77.2,3071.2,53067,17.3,4969,971,19.5,1013,16.9
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,2740.2,492.3,18,25486.2,3.7,662.2,19.5,499.4,75.4,672.1,19.7,74.3,1863.1,29712,15.9,2995,569,19,678,18.5
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,2439.2,441.3,18.1,19420.4,3.1,785.6,24.4,696,88.6,845.5,25.7,82.3,1520.3,21080,13.9,2525,476,18.9,850,25.2
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,2953.6,612.5,20.7,20651.4,2.8,914.4,23.6,797.8,87.2,1061.6,26.4,75.1,1893,28532,15.1,3024,664,22,929,23.5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,321.3,40.3,12.5,2949.2,3.6,24,7,24,100,43,11.8,55.8,220,3667,16.7,334,46,13.8,27,7.5
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,88.2,16.5,18.8,697.2,3.1,12.5,12.4,5.6,44.8,5.6,6,100,45.2,865,19.1,94,21,22.3,14,13
