time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,inpost_fte,inpost_headcount,starters_fte,starters_headcount,leavers_fte,leavers_headcount,turnover_rate_fte,turnover_rate_headcount,agency_fte,agency_headcount,agency_rate_fte,agency_rate_headcount,agency_cover_fte,agency_cover_rate_fte,vacancy_fte,vacancy_rate_fte,vacancy_agency_cover_rate_fte,case_holders_fte,cases,caseload_fte,working_days_lost_fte,absence_rate_fte
2023,Reporting year,National,E92000001,England,,,,,,33119.1,35199,6027.5,6247,5254.6,5640,15.9,16,7173.5,7429,17.8,17.4,5744.2,80.1,7722.7,18.9,74.4,21111.4,337055,16,270751,3.2
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,2159.9,2266,392.8,416,307.6,331,14.2,14.6,236.5,243,9.9,9.7,158,66.8,265.6,10.9,59.5,1388.8,23660,17,19673,3.6
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,4693.9,4951,893.7,920,717.1,758,15.3,15.3,1207.1,1215,20.5,19.7,954.8,79.1,1211.3,20.5,78.8,2969.9,48864,16.5,44417,3.7
2023,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,3702.7,4008,679.2,699,531.4,584,14.4,14.6,695.9,711,15.8,15.1,426.8,61.3,659.3,15.1,64.7,2309.4,38010,16.5,30800.7,3.3
2023,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,2281.1,2507,359.2,395,377,420,16.5,16.8,453.8,467,16.6,15.7,387.7,85.4,501.7,18,77.3,1522.1,24725,16.2,21927.2,3.8
2023,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,3772.8,3958,626.3,642,596.2,642,15.8,16.2,751.4,805,16.6,16.9,566.9,75.4,900.1,19.3,63,2492,41395,16.6,40226.3,4.2
2023,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,3193.7,3419,493.9,523,515.5,552,16.1,16.1,454.2,473,12.5,12.2,441.2,97.1,566.4,15.1,77.9,1759.8,26176,14.9,18524.6,2.3
2023,Reporting year,Regional,E92000001,England,E12000007,London,,,,5683.2,5860,1139.3,1152,938.1,962,16.5,16.4,1674,1784,22.8,23.3,1548.7,92.5,1914.7,25.2,80.9,3649.1,52580,14.4,35915.1,2.5
2023,Reporting year,Regional,E92000001,England,E12000008,South East,,,,4785.8,5142,877.4,907,797.1,860,16.7,16.7,998,1009,17.3,16.4,762.9,76.4,1029.1,17.7,74.1,3130.6,51634,16.5,35806.9,3
2023,Reporting year,Regional,E92000001,England,E12000009,South West,,,,2846.2,3088,565.8,593,474.6,531,16.7,17.2,702.5,722,19.8,19,497.2,70.8,674.6,19.2,73.7,1889.7,30011,15.9,23460.2,3.3
