time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,OrgRole,known_headcount,white,mixed,asian,black,other,white_perc,mixed_perc,asian_perc,black_perc,other_perc
2022,Reporting year,National,E92000001,England,,,,,,All children and family social workers,27373,20833,1050,1614,3632,244,76.1,3.8,5.9,13.3,0.9
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,All children and family social workers,1621,1569,14,15,22,1,96.8,0.9,0.9,1.4,0.1
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,All children and family social workers,3642,3228,103,115,177,19,88.6,2.8,3.2,4.9,0.5
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All children and family social workers,3199,2665,118,253,156,7,83.3,3.7,7.9,4.9,0.2
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,All children and family social workers,2065,1666,88,137,161,13,80.7,4.3,6.6,7.8,0.6
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,All children and family social workers,3054,2088,142,346,449,29,68.4,4.6,11.3,14.7,0.9
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,All children and family social workers,2635,2093,74,86,357,25,79.4,2.8,3.3,13.5,0.9
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,All children and family social workers,4653,2078,312,483,1691,89,44.7,6.7,10.4,36.3,1.9
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,All children and family social workers,4161,3357,143,138,497,26,80.7,3.4,3.3,11.9,0.6
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,All children and family social workers,2343,2089,56,41,122,35,89.2,2.4,1.7,5.2,1.5
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,All children and family social workers,2198,1049,115,208,782,44,47.7,5.2,9.5,35.6,2
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,All children and family social workers,2455,1029,197,275,909,45,41.9,8,11.2,37,1.8
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,All children and family social workers,124,123,1,0,0,0,99.2,0.8,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,All children and family social workers,89,88,0,0,1,0,98.9,0,0,1.1,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,All children and family social workers,159,156,2,0,1,0,98.1,1.3,0,0.6,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,All children and family social workers,0,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,All children and family social workers,135,132,1,2,0,0,97.8,0.7,1.5,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,All children and family social workers,249,237,1,1,9,1,95.2,0.4,0.4,3.6,0.4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,All children and family social workers,161,156,1,2,2,0,96.9,0.6,1.2,1.2,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,All children and family social workers,162,156,3,1,2,0,96.3,1.9,0.6,1.2,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,All children and family social workers,47,47,0,0,0,0,100,0,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,All children and family social workers,109,106,1,2,0,0,97.2,0.9,1.8,0,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,All children and family social workers,157,148,2,3,4,0,94.3,1.3,1.9,2.5,0
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,All children and family social workers,229,220,2,4,3,0,96.1,0.9,1.7,1.3,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,All children and family social workers,93,77,3,13,0,0,82.8,3.2,14,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,All children and family social workers,186,176,5,3,2,0,94.6,2.7,1.6,1.1,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,All children and family social workers,144,122,7,7,6,2,84.7,4.9,4.9,4.2,1.4
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,All children and family social workers,97,80,3,7,7,0,82.5,3.1,7.2,7.2,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,All children and family social workers,101,96,1,1,2,1,95,1,1,2,1
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,All children and family social workers,175,170,1,0,4,0,97.1,0.6,0,2.3,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,All children and family social workers,250,244,4,1,1,0,97.6,1.6,0.4,0.4,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,All children and family social workers,65,63,0,1,1,0,96.9,0,1.5,1.5,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,All children and family social workers,109,105,2,0,1,1,96.3,1.8,0,0.9,0.9
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,All children and family social workers,116,115,1,0,0,0,99.1,0.9,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,All children and family social workers,227,212,6,2,7,0,93.4,2.6,0.9,3.1,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,All children and family social workers,301,193,18,29,54,7,64.1,6,9.6,17.9,2.3
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,All children and family social workers,131,106,3,16,6,0,80.9,2.3,12.2,4.6,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,All children and family social workers,155,130,4,2,19,0,83.9,2.6,1.3,12.3,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,All children and family social workers,209,165,15,12,16,1,78.9,7.2,5.7,7.7,0.5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,All children and family social workers,89,82,0,0,2,5,92.1,0,0,2.2,5.6
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,All children and family social workers,145,138,1,0,6,0,95.2,0.7,0,4.1,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,All children and family social workers,239,217,6,7,9,0,90.8,2.5,2.9,3.8,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,All children and family social workers,176,151,6,3,16,0,85.8,3.4,1.7,9.1,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,All children and family social workers,91,77,1,5,8,0,84.6,1.1,5.5,8.8,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,All children and family social workers,126,117,3,4,2,0,92.9,2.4,3.2,1.6,0
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,All children and family social workers,192,182,8,1,0,1,94.8,4.2,0.5,0,0.5
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,All children and family social workers,225,210,5,1,8,1,93.3,2.2,0.4,3.6,0.4
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,All children and family social workers,144,131,4,4,5,0,91,2.8,2.8,3.5,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,All children and family social workers,319,168,21,107,22,1,52.7,6.6,33.5,6.9,0.3
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,All children and family social workers,148,122,5,14,7,0,82.4,3.4,9.5,4.7,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,All children and family social workers,144,130,6,2,5,1,90.3,4.2,1.4,3.5,0.7
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,All children and family social workers,131,128,1,1,1,0,97.7,0.8,0.8,0.8,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",All children and family social workers,0,x,x,x,x,x,x,x,x,x,x
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,All children and family social workers,263,195,7,38,22,1,74.1,2.7,14.4,8.4,0.4
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,All children and family social workers,614,512,25,46,30,1,83.4,4.1,7.5,4.9,0.2
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,All children and family social workers,67,67,0,0,0,0,100,0,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,All children and family social workers,112,109,1,0,1,1,97.3,0.9,0,0.9,0.9
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,All children and family social workers,304,296,6,1,1,0,97.4,2,0.3,0.3,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,All children and family social workers,212,199,3,6,4,0,93.9,1.4,2.8,1.9,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,All children and family social workers,435,332,28,24,49,2,76.3,6.4,5.5,11.3,0.5
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,All children and family social workers,224,199,8,8,9,0,88.8,3.6,3.6,4,0
2022,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,All children and family social workers,82,77,3,2,0,0,93.9,3.7,2.4,0,0
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,All children and family social workers,162,107,11,20,23,1,66,6.8,12.3,14.2,0.6
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,All children and family social workers,460,419,13,17,10,1,91.1,2.8,3.7,2.2,0.2
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,All children and family social workers,165,100,6,37,19,3,60.6,3.6,22.4,11.5,1.8
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,All children and family social workers,225,173,15,26,10,1,76.9,6.7,11.6,4.4,0.4
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,All children and family social workers,288,269,7,3,9,0,93.4,2.4,1,3.1,0
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,All children and family social workers,150,115,4,7,21,3,76.7,2.7,4.7,14,2
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,All children and family social workers,205,141,16,14,32,2,68.8,7.8,6.8,15.6,1
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,All children and family social workers,386,320,14,13,37,2,82.9,3.6,3.4,9.6,0.5
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,All children and family social workers,24,22,2,0,0,0,91.7,8.3,0,0,0
2022,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,All children and family social workers,z,z,z,z,z,z,z,z,z,z,z
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,All children and family social workers,586,266,26,119,155,20,45.4,4.4,20.3,26.5,3.4
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,All children and family social workers,322,211,20,41,48,2,65.5,6.2,12.7,14.9,0.6
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,All children and family social workers,129,79,4,22,24,0,61.2,3.1,17.1,18.6,0
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",All children and family social workers,49,45,1,2,1,0,91.8,2,4.1,2,0
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,All children and family social workers,205,87,12,46,60,0,42.4,5.9,22.4,29.3,0
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,All children and family social workers,108,104,1,1,2,0,96.3,0.9,0.9,1.9,0
2022,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,All children and family social workers,120,80,4,19,17,0,66.7,3.3,15.8,14.2,0
