time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,1 to 4 years,6410,20
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,10 to 15 years,4440,14
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,16 years,1570,5
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,17 years,1700,5
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,18 years and over,12240,39
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,5 to 9 years,3670,12
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,Total,31680,100
2023,Reporting year,National,E92000001,England,,,,,,Age on ceasing,Under 1 year,1650,5
2023,Reporting year,National,E92000001,England,,,,,,Gender,Female,13060,41
2023,Reporting year,National,E92000001,England,,,,,,Gender,Male,18620,59
2023,Reporting year,National,E92000001,England,,,,,,Gender,Total,31680,100
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Accommodation on remand ended,140,k
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Adopted,2960,9
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Age assessment determined child aged 18 or over,270,1
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Aged 18 (or over) and remained with current carers,4900,15
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Care ceased for any other reason,3100,10
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Care taken by another local authority,1200,4
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Child moved abroad,80,k
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Died,60,k
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,"Left care to live with parents, relatives or other person with no parental responsibility",1980,6
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Moved into independent living (with no formalised support),930,3
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Moved into independent living (with supportive accommodation),3760,12
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Residence order or child arrangement order granted,1110,3
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was not part of the care planning process,1140,4
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Returned home to live with parents or other person with parental responsibility which was part of the care planning process,5510,17
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Sentenced to custody,210,1
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Special guardianship orders,3840,12
2023,Reporting year,National,E92000001,England,,,,,,Reason episode ceased,Total,31680,100
