time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Distance not known or not recorded,11370,13
2023,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed inside LA boundary less than 20 miles from home,42370,47
2023,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed inside LA boundary more than 20 miles from home,4420,5
2023,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed outside LA boundary less than 20 miles from home,17960,20
2023,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed outside LA boundary more than 20 miles from home,14310,16
2023,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Total new placements,90420,100
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Allegation (s47),470,1
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Approval removed,240,k
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Carer requests placement end other than due to child's behaviour,4120,7
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Carer requests placement ends due to child's behaviour,5740,10
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Change in the status of a placement only,8710,15
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Change to/implementation of care plan,20090,35
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Child requests placement to end,2150,4
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Custody arrangement,150,k
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Other,13840,24
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Resignation or closure of provision,450,1
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Responsible/area authority requests placement ends,1020,2
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Standards of care concern,740,1
2023,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Total placements changing,57690,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Distance not known or not recorded,350,5
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed inside LA boundary less than 20 miles from home,3760,59
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed inside LA boundary more than 20 miles from home,110,2
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed outside LA boundary less than 20 miles from home,1480,23
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed outside LA boundary more than 20 miles from home,710,11
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Total new placements,6400,100
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Allegation (s47),40,1
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Approval removed,c,c
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Carer requests placement end other than due to child's behaviour,250,6
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Carer requests placement ends due to child's behaviour,410,10
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Change in the status of a placement only,970,25
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Change to/implementation of care plan,1340,34
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Child requests placement to end,100,3
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Custody arrangement,c,c
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Other,660,17
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Resignation or closure of provision,30,1
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Responsible/area authority requests placement ends,40,1
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Standards of care concern,60,1
2023,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Reason for placement change during the year,Total placements changing,3900,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Location of new placements during the year,Distance not known or not recorded,1010,7
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Location of new placements during the year,Placed inside LA boundary less than 20 miles from home,8020,55
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Location of new placements during the year,Placed inside LA boundary more than 20 miles from home,430,3
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Location of new placements during the year,Placed outside LA boundary less than 20 miles from home,3300,23
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Location of new placements during the year,Placed outside LA boundary more than 20 miles from home,1740,12
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Location of new placements during the year,Total new placements,14490,100
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Allegation (s47),120,1
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Approval removed,140,1
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Carer requests placement end other than due to child's behaviour,810,9
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Carer requests placement ends due to child's behaviour,1270,13
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Change in the status of a placement only,1460,15
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Change to/implementation of care plan,2690,28
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Child requests placement to end,450,5
2023,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Reason for placement change during the year,Custody arrangement,30,k
