2023 Upper tier local authorities Code,2023 Upper tier local authorities,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E06000001,Hartlepool,-8,Does not apply,0
E06000001,Hartlepool,1,"Asian, Asian British or Asian Welsh: Bangladeshi",278
E06000001,Hartlepool,2,"Asian, Asian British or Asian Welsh: Chinese",217
E06000001,Hartlepool,3,"Asian, Asian British or Asian Welsh: Indian",335
E06000001,Hartlepool,4,"Asian, Asian British or Asian Welsh: Pakistani",297
E06000001,Hartlepool,5,"Asian, Asian British or Asian Welsh: Other Asian",473
E06000001,Hartlepool,6,"Black, Black British, Black Welsh, Caribbean or African: African",327
E06000001,Hartlepool,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",57
E06000001,Hartlepool,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",61
E06000001,Hartlepool,9,Mixed or Multiple ethnic groups: White and Asian,240
E06000001,Hartlepool,10,Mixed or Multiple ethnic groups: White and Black African,115
E06000001,Hartlepool,11,Mixed or Multiple ethnic groups: White and Black Caribbean,143
E06000001,Hartlepool,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,173
E06000001,Hartlepool,13,"White: English, Welsh, Scottish, Northern Irish or British",87761
E06000001,Hartlepool,14,White: Irish,170
E06000001,Hartlepool,15,White: Gypsy or Irish Traveller,37
E06000001,Hartlepool,16,White: Roma,19
E06000001,Hartlepool,17,White: Other White,1081
E06000001,Hartlepool,18,Other ethnic group: Arab,270
E06000001,Hartlepool,19,Other ethnic group: Any other ethnic group,284
E06000002,Middlesbrough,-8,Does not apply,0
E06000002,Middlesbrough,1,"Asian, Asian British or Asian Welsh: Bangladeshi",595
E06000002,Middlesbrough,2,"Asian, Asian British or Asian Welsh: Chinese",669
E06000002,Middlesbrough,3,"Asian, Asian British or Asian Welsh: Indian",2804
E06000002,Middlesbrough,4,"Asian, Asian British or Asian Welsh: Pakistani",8990
E06000002,Middlesbrough,5,"Asian, Asian British or Asian Welsh: Other Asian",2032
E06000002,Middlesbrough,6,"Black, Black British, Black Welsh, Caribbean or African: African",3339
E06000002,Middlesbrough,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",162
E06000002,Middlesbrough,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",315
E06000002,Middlesbrough,9,Mixed or Multiple ethnic groups: White and Asian,1110
E06000002,Middlesbrough,10,Mixed or Multiple ethnic groups: White and Black African,650
E06000002,Middlesbrough,11,Mixed or Multiple ethnic groups: White and Black Caribbean,570
E06000002,Middlesbrough,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,671
E06000002,Middlesbrough,13,"White: English, Welsh, Scottish, Northern Irish or British",114421
E06000002,Middlesbrough,14,White: Irish,434
E06000002,Middlesbrough,15,White: Gypsy or Irish Traveller,160
E06000002,Middlesbrough,16,White: Roma,320
E06000002,Middlesbrough,17,White: Other White,3212
E06000002,Middlesbrough,18,Other ethnic group: Arab,1452
E06000002,Middlesbrough,19,Other ethnic group: Any other ethnic group,2016
E06000003,Redcar and Cleveland,-8,Does not apply,0
E06000003,Redcar and Cleveland,1,"Asian, Asian British or Asian Welsh: Bangladeshi",158
E06000003,Redcar and Cleveland,2,"Asian, Asian British or Asian Welsh: Chinese",208
E06000003,Redcar and Cleveland,3,"Asian, Asian British or Asian Welsh: Indian",175
E06000003,Redcar and Cleveland,4,"Asian, Asian British or Asian Welsh: Pakistani",283
E06000003,Redcar and Cleveland,5,"Asian, Asian British or Asian Welsh: Other Asian",336
E06000003,Redcar and Cleveland,6,"Black, Black British, Black Welsh, Caribbean or African: African",182
E06000003,Redcar and Cleveland,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",48
E06000003,Redcar and Cleveland,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",35
E06000003,Redcar and Cleveland,9,Mixed or Multiple ethnic groups: White and Asian,460
E06000003,Redcar and Cleveland,10,Mixed or Multiple ethnic groups: White and Black African,215
