Countries Code,Countries,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E92000001,England,-8,Does not apply,0
E92000001,England,1,"Asian, Asian British or Asian Welsh: Bangladeshi",629567
E92000001,England,2,"Asian, Asian British or Asian Welsh: Chinese",431165
E92000001,England,3,"Asian, Asian British or Asian Welsh: Indian",1843248
E92000001,England,4,"Asian, Asian British or Asian Welsh: Pakistani",1570285
E92000001,England,5,"Asian, Asian British or Asian Welsh: Other Asian",952127
E92000001,England,6,"Black, Black British, Black Welsh, Caribbean or African: African",1468474
E92000001,England,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",619419
E92000001,England,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",293831
E92000001,England,9,Mixed or Multiple ethnic groups: White and Asian,474190
E92000001,England,10,Mixed or Multiple ethnic groups: White and Black African,241528
E92000001,England,11,Mixed or Multiple ethnic groups: White and Black Caribbean,499310
E92000001,England,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,454350
E92000001,England,13,"White: English, Welsh, Scottish, Northern Irish or British",41540791
E92000001,England,14,White: Irish,494251
E92000001,England,15,White: Gypsy or Irish Traveller,64218
E92000001,England,16,White: Roma,99138
E92000001,England,17,White: Other White,3585003
E92000001,England,18,Other ethnic group: Arab,320203
E92000001,England,19,Other ethnic group: Any other ethnic group,908950
W92000004,Wales,-8,Does not apply,0
W92000004,Wales,1,"Asian, Asian British or Asian Welsh: Bangladeshi",15314
W92000004,Wales,2,"Asian, Asian British or Asian Welsh: Chinese",14454
W92000004,Wales,3,"Asian, Asian British or Asian Welsh: Indian",21070
W92000004,Wales,4,"Asian, Asian British or Asian Welsh: Pakistani",17534
W92000004,Wales,5,"Asian, Asian British or Asian Welsh: Other Asian",20656
W92000004,Wales,6,"Black, Black British, Black Welsh, Caribbean or African: African",19907
W92000004,Wales,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3700
W92000004,Wales,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3947
W92000004,Wales,9,Mixed or Multiple ethnic groups: White and Asian,14035
W92000004,Wales,10,Mixed or Multiple ethnic groups: White and Black African,8068
W92000004,Wales,11,Mixed or Multiple ethnic groups: White and Black Caribbean,13732
W92000004,Wales,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12763
W92000004,Wales,13,"White: English, Welsh, Scottish, Northern Irish or British",2814247
W92000004,Wales,14,White: Irish,13214
W92000004,Wales,15,White: Gypsy or Irish Traveller,3550
W92000004,Wales,16,White: Roma,1843
W92000004,Wales,17,White: Other White,82994
W92000004,Wales,18,Other ethnic group: Arab,11641
W92000004,Wales,19,Other ethnic group: Any other ethnic group,14825
