Regions Code,Regions,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E12000001,North East,-8,Does not apply,0
E12000001,North East,1,"Asian, Asian British or Asian Welsh: Bangladeshi",16355
E12000001,North East,2,"Asian, Asian British or Asian Welsh: Chinese",14442
E12000001,North East,3,"Asian, Asian British or Asian Welsh: Indian",22021
E12000001,North East,4,"Asian, Asian British or Asian Welsh: Pakistani",27290
E12000001,North East,5,"Asian, Asian British or Asian Welsh: Other Asian",17938
E12000001,North East,6,"Black, Black British, Black Welsh, Caribbean or African: African",22066
E12000001,North East,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1704
E12000001,North East,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2865
E12000001,North East,9,Mixed or Multiple ethnic groups: White and Asian,12490
E12000001,North East,10,Mixed or Multiple ethnic groups: White and Black African,6527
E12000001,North East,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5650
E12000001,North East,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8604
E12000001,North East,13,"White: English, Welsh, Scottish, Northern Irish or British",2397557
E12000001,North East,14,White: Irish,8384
E12000001,North East,15,White: Gypsy or Irish Traveller,2621
E12000001,North East,16,White: Roma,2375
E12000001,North East,17,White: Other White,51783
E12000001,North East,18,Other ethnic group: Arab,10406
E12000001,North East,19,Other ethnic group: Any other ethnic group,15936
E12000002,North West,-8,Does not apply,0
E12000002,North West,1,"Asian, Asian British or Asian Welsh: Bangladeshi",60859
E12000002,North West,2,"Asian, Asian British or Asian Welsh: Chinese",54051
E12000002,North West,3,"Asian, Asian British or Asian Welsh: Indian",140413
E12000002,North West,4,"Asian, Asian British or Asian Welsh: Pakistani",303611
E12000002,North West,5,"Asian, Asian British or Asian Welsh: Other Asian",63751
E12000002,North West,6,"Black, Black British, Black Welsh, Caribbean or African: African",126608
E12000002,North West,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25919
E12000002,North West,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",21391
E12000002,North West,9,Mixed or Multiple ethnic groups: White and Asian,47829
E12000002,North West,10,Mixed or Multiple ethnic groups: White and Black African,30011
E12000002,North West,11,Mixed or Multiple ethnic groups: White and Black Caribbean,46962
E12000002,North West,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,38443
E12000002,North West,13,"White: English, Welsh, Scottish, Northern Irish or British",6019385
E12000002,North West,14,White: Irish,61422
E12000002,North West,15,White: Gypsy or Irish Traveller,5741
E12000002,North West,16,White: Roma,7359
E12000002,North West,17,White: Other White,253487
E12000002,North West,18,Other ethnic group: Arab,43865
E12000002,North West,19,Other ethnic group: Any other ethnic group,66291
E12000003,Yorkshire and The Humber,-8,Does not apply,0
E12000003,Yorkshire and The Humber,1,"Asian, Asian British or Asian Welsh: Bangladeshi",29018
E12000003,Yorkshire and The Humber,2,"Asian, Asian British or Asian Welsh: Chinese",29589
E12000003,Yorkshire and The Humber,3,"Asian, Asian British or Asian Welsh: Indian",81322
E12000003,Yorkshire and The Humber,4,"Asian, Asian British or Asian Welsh: Pakistani",296437
E12000003,Yorkshire and The Humber,5,"Asian, Asian British or Asian Welsh: Other Asian",50689
E12000003,Yorkshire and The Humber,6,"Black, Black British, Black Welsh, Caribbean or African: African",80907
E12000003,Yorkshire and The Humber,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",22736
E12000003,Yorkshire and The Humber,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",14000
E12000003,Yorkshire and The Humber,9,Mixed or Multiple ethnic groups: White and Asian,36888
E12000003,Yorkshire and The Humber,10,Mixed or Multiple ethnic groups: White and Black African,15644
E12000003,Yorkshire and The Humber,11,Mixed or Multiple ethnic groups: White and Black Caribbean,39296
E12000003,Yorkshire and The Humber,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,25189
E12000003,Yorkshire and The Humber,13,"White: English, Welsh, Scottish, Northern Irish or British",4431265
E12000003,Yorkshire and The Humber,14,White: Irish,25215
E12000003,Yorkshire and The Humber,15,White: Gypsy or Irish Traveller,5891
E12000003,Yorkshire and The Humber,16,White: Roma,9464
E12000003,Yorkshire and The Humber,17,White: Other White,208130
E12000003,Yorkshire and The Humber,18,Other ethnic group: Arab,25474
E12000003,Yorkshire and The Humber,19,Other ethnic group: Any other ethnic group,53620
E12000004,East Midlands,-8,Does not apply,0
E12000004,East Midlands,1,"Asian, Asian British or Asian Welsh: Bangladeshi",20980
E12000004,East Midlands,2,"Asian, Asian British or Asian Welsh: Chinese",22973
E12000004,East Midlands,3,"Asian, Asian British or Asian Welsh: Indian",229831
E12000004,East Midlands,4,"Asian, Asian British or Asian Welsh: Pakistani",71038
E12000004,East Midlands,5,"Asian, Asian British or Asian Welsh: Other Asian",46281
E12000004,East Midlands,6,"Black, Black British, Black Welsh, Caribbean or African: African",83161
E12000004,East Midlands,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",30828
E12000004,East Midlands,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",15997
E12000004,East Midlands,9,Mixed or Multiple ethnic groups: White and Asian,30803
E12000004,East Midlands,10,Mixed or Multiple ethnic groups: White and Black African,14341
E12000004,East Midlands,11,Mixed or Multiple ethnic groups: White and Black Caribbean,46400
E12000004,East Midlands,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,25703
E12000004,East Midlands,13,"White: English, Welsh, Scottish, Northern Irish or British",3882390
E12000004,East Midlands,14,White: Irish,27130
E12000004,East Midlands,15,White: Gypsy or Irish Traveller,4620
E12000004,East Midlands,16,White: Roma,7196
E12000004,East Midlands,17,White: Other White,258438
E12000004,East Midlands,18,Other ethnic group: Arab,13360
E12000004,East Midlands,19,Other ethnic group: Any other ethnic group,48584
E12000005,West Midlands,-8,Does not apply,0
E12000005,West Midlands,1,"Asian, Asian British or Asian Welsh: Bangladeshi",77518
E12000005,West Midlands,2,"Asian, Asian British or Asian Welsh: Chinese",33301
E12000005,West Midlands,3,"Asian, Asian British or Asian Welsh: Indian",276030
E12000005,West Midlands,4,"Asian, Asian British or Asian Welsh: Pakistani",319165
E12000005,West Midlands,5,"Asian, Asian British or Asian Welsh: Other Asian",88250
E12000005,West Midlands,6,"Black, Black British, Black Welsh, Caribbean or African: African",146089
E12000005,West Midlands,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",90192
E12000005,West Midlands,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",32738
E12000005,West Midlands,9,Mixed or Multiple ethnic groups: White and Asian,46478
